"BehaviorSpace results (NetLogo 6.2.2)"
"PD N-Person Iterated.nlogo"
"tournament-mean-payoff"
"12/23/2022 10:18:37:104 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","num-strategy-agents","[step]","random-score / num-random-games","cooperate-score / num-cooperate-games","defect-score / num-defect-games","tit-for-tat-score / num-tit-for-tat-games","joss-score / num-joss-games","anonymous-score / num-anonymous-games"
"19","20","10000","2.008108517732646","1.9409541521064235","2.403387278885962","2.1649917504124794","2.194854606395507","2.002142361425425"
"20","20","10000","1.993748691412676","1.9436255612499433","2.3826982554124254","2.1604191129979227","2.195826165008602","2.00306757691498"
"21","30","10000","2.0070786404710903","1.944623230593169","2.393637408968954","2.179069945606374","2.217862690038792","2.0088055042071593"
"22","30","10000","2.0120410731827114","1.9419899052755307","2.401445356067898","2.177180366954249","2.2233094033911853","2.010246279670397"
"23","30","10000","2.0157993134730905","1.9376349373429733","2.394993909026134","2.1803490328976185","2.2346766678731775","2.016851079546329"
"24","30","10000","2.01250708453962","1.9415542562497123","2.3892323840608025","2.1840275910805227","2.2237442572741193","2.00708452304197"
"25","30","10000","2.0165999339076706","1.9441384435064388","2.3886597700619774","2.1863117870722433","2.2299149482959066","2.0100891257372675"
"26","30","10000","2.013606959625251","1.947118919250092","2.3897661111068382","2.184639481584423","2.222123179774849","2.01665927952437"
"27","30","10000","2.0075587239953037","1.9493363844393592","2.393575282000981","2.1793264747695553","2.2193354677614545","2.016516896110562"
"28","30","10000","2.015264604337475","1.9399455518641566","2.386422536075202","2.1762954914144044","2.221942869369851","2.0090056285178237"
"29","30","10000","2.0082488479262675","1.946135831381733","2.3839061768924545","2.1863011392763414","2.236025511299175","2.0169132055173473"
"30","30","10000","2.0072708008629756","1.9477900256028946","2.3953966076232667","2.197053831324931","2.239318405209485","2.0046625615573728"
"31","40","10000","2.0189913555915466","1.9505299835311711","2.3994240163555767","2.1916880576946585","2.247876777111829","2.017826072039485"
"32","40","10000","2.0206413492203246","1.9496717082893658","2.3900272020978885","2.1879034104471433","2.2353606568567224","2.0199746524498554"
"33","40","10000","2.016920283293606","1.9417206651573113","2.395481606757061","2.19322265625","2.2413271381996367","2.0244784504485107"
"34","40","10000","2.022776700170458","1.9411920231491229","2.4026479255961255","2.191988160998696","2.2306611990839516","2.021349461866539"
"35","40","10000","2.0240369316930127","1.9473740878680952","2.398078725398313","2.1920176541080876","2.2383820070560563","2.018740300430441"
"36","40","10000","2.017624797612313","1.9438790459633153","2.399561109834952","2.1993833604901893","2.250963249819085","2.016962167714167"
"37","40","10000","2.0215596486864755","1.9448368782554786","2.406421345843718","2.1961542419475766","2.235188667724997","2.021281403825937"
"38","40","10000","2.0259635921854486","1.944020629633609","2.3987845152717253","2.196684850617863","2.243446297819022","2.024720978870624"
"39","40","10000","2.0211639952849336","1.9490446792415999","2.394654203234046","2.1916485555908283","2.2386422466422466","2.017688598507448"
"40","40","10000","2.0118697268102066","1.9517362637362636","2.38813790416829","2.1919061073254666","2.240903314106951","2.025970410241632"
"41","50","10000","2.0305147947865154","1.946213841237807","2.398015821599039","2.2059351194522505","2.253160205957041","2.031393970842946"
"42","50","10000","2.0267128595523545","1.9457737089103297","2.4116194651468654","2.2054260303565916","2.2543880530137015","2.033688769592504"
"43","50","10000","2.0316982772827843","1.9444573088582013","2.396298704476652","2.2026187049351975","2.251387865389339","2.035140576334914"
"44","50","10000","2.026374096381318","1.9453692446225916","2.3998796344245545","2.198915351144557","2.2516564193267636","2.030277013649186"
"45","50","10000","2.024671277487021","1.9496921428121126","2.4069720577979177","2.203948428686543","2.265960574580685","2.0237633195788174"
"46","50","10000","2.031961214974551","1.9420152892736189","2.4009152595865553","2.2084938833091194","2.2536686237325143","2.030425920867391"
"48","50","10000","2.029363813263678","1.9476448033137883","2.401814297222514","2.20119068464367","2.2555805605799297","2.034186924089513"
"47","50","10000","2.02806727458076","1.9470082415272054","2.401405912671059","2.2047621051745545","2.257543178676645","2.026796576676676"
"49","50","10000","2.0296785926625396","1.9424089281954096","2.4065895622118205","2.2030557650814813","2.258207689936384","2.0309131733905006"
