"BehaviorSpace results (NetLogo 6.2.2)"
"visek_obstacles.nlogo"
"obst"
"11/04/2022 09:03:37:978 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"5","1","30","30","0.6110039854034","0.36333333333333334"
"3","1","0","31","0.6555276736562048","0.30666666666666664"
"2","1","0","32","0.7153097572251687","0.26"
"4","1","30","31","0.6169722670580768","0.31"
"6","1","30","31","0.5728014459484946","0.35333333333333333"
"1","1","0","31","0.7132973869480173","0.31"
"5","1","30","31","0.5958958899247034","0.31"
"3","1","0","32","0.6743242048124529","0.32666666666666666"
"2","1","0","33","0.7362534550872243","0.25666666666666665"
"4","1","30","32","0.6470292880218326","0.32"
"6","1","30","32","0.572039356835836","0.36666666666666664"
"1","1","0","32","0.7187065877761027","0.31666666666666665"
"5","1","30","32","0.6184271690253684","0.29"
"3","1","0","33","0.6785468459986828","0.30333333333333334"
"2","1","0","34","0.7484717149588679","0.22333333333333333"
"1","1","0","33","0.7528436462635868","0.27666666666666667"
"4","1","30","33","0.6434198994164753","0.30333333333333334"
"6","1","30","33","0.5921206016464575","0.38333333333333336"
"5","1","30","33","0.6323641035053521","0.29333333333333333"
"3","1","0","34","0.6897002303821037","0.28"
"2","1","0","35","0.762883116876843","0.25666666666666665"
"1","1","0","34","0.7718331153657662","0.28"
"4","1","30","34","0.6311947032440659","0.2866666666666667"
"6","1","30","34","0.5880564458713341","0.38666666666666666"
"5","1","30","34","0.6343673665798389","0.29"
"3","1","0","35","0.6968135186639007","0.29333333333333333"
"2","1","0","36","0.7703832418256263","0.28"
"1","1","0","35","0.7976319623874389","0.28"
"4","1","30","35","0.6519086452237385","0.2833333333333333"
"6","1","30","35","0.592718706671613","0.36666666666666664"
"5","1","30","35","0.6457888075738639","0.31333333333333335"
"3","1","0","36","0.7091450778400352","0.33666666666666667"
"2","1","0","37","0.7786482518642925","0.22333333333333333"
"1","1","0","36","0.8046054119229504","0.2966666666666667"
"4","1","30","36","0.6539761172286307","0.30666666666666664"
"6","1","30","36","0.6250032389801577","0.33"
"5","1","30","36","0.640595621727927","0.2833333333333333"
"3","1","0","37","0.7070778495763561","0.3566666666666667"
"2","1","0","38","0.7771829022891014","0.26"
"1","1","0","37","0.824187845487346","0.25666666666666665"
"4","1","30","37","0.6663132884568972","0.29333333333333333"
"6","1","30","37","0.6380572507939444","0.35333333333333333"
"5","1","30","37","0.6554498150730225","0.30333333333333334"
"2","1","0","39","0.7778175589798373","0.25"
"3","1","0","38","0.7097188077569851","0.3433333333333333"
"1","1","0","38","0.8410472263497063","0.25"
"4","1","30","38","0.6792476415400795","0.2633333333333333"
"6","1","30","38","0.6389653703238487","0.3433333333333333"
"5","1","30","38","0.6664952255406683","0.30333333333333334"
"2","1","0","40","0.7781898695594354","0.27666666666666667"
"3","1","0","39","0.7133201879301118","0.36"
"1","1","0","39","0.8516202132321768","0.23333333333333334"
"6","1","30","39","0.6415727348789505","0.3333333333333333"
"4","1","30","39","0.6670746384710095","0.2866666666666667"
"5","1","30","39","0.6635683524960663","0.2833333333333333"
"3","1","0","40","0.7276086019418774","0.31666666666666665"
"2","1","0","41","0.779309238873622","0.31"
"1","1","0","40","0.8780208832393849","0.23666666666666666"
"5","1","30","40","0.6638705168414935","0.3"
"4","1","30","40","0.6668519558628836","0.31"
"6","1","30","40","0.6162504562047111","0.3233333333333333"
"2","1","0","42","0.7806617605764626","0.30333333333333334"
"3","1","0","41","0.7349173211170845","0.31333333333333335"
"1","1","0","41","0.8837622905418615","0.23"
"5","1","30","41","0.6516004906163049","0.29333333333333333"
"3","1","0","42","0.7461394331503506","0.31666666666666665"
"4","1","30","41","0.6889475989273562","0.30333333333333334"
"2","1","0","43","0.784301906125545","0.30333333333333334"
"6","1","30","41","0.6019259952930734","0.36"
"1","1","0","42","0.8854727733373179","0.2866666666666667"
"3","1","0","43","0.7671680085575945","0.28"
"5","1","30","42","0.6600454491757118","0.31666666666666665"
"2","1","0","44","0.7910152071650294","0.27"
"4","1","30","42","0.6718866249456621","0.2833333333333333"
"6","1","30","42","0.6076522210492369","0.35"
"1","1","0","43","0.8854509629858649","0.26"
"3","1","0","44","0.773625576631316","0.25333333333333335"
"2","1","0","45","0.7911549861343695","0.2866666666666667"
"5","1","30","43","0.6734309697306138","0.32"
"4","1","30","43","0.6596736644583767","0.2833333333333333"
"6","1","30","43","0.6156950386621155","0.3233333333333333"
"1","1","0","44","0.885831160626218","0.2833333333333333"
"3","1","0","45","0.783012689747555","0.2633333333333333"
"2","1","0","46","0.7959429131685317","0.2733333333333333"
"5","1","30","44","0.6514702137526427","0.30333333333333334"
"4","1","30","44","0.6641662376725802","0.34"
"6","1","30","44","0.6363443117477846","0.3333333333333333"
"1","1","0","45","0.8815292969923191","0.3"
"3","1","0","46","0.7886614158306692","0.2733333333333333"
"2","1","0","47","0.7964396709867214","0.26666666666666666"
"5","1","30","45","0.6698134775127159","0.31333333333333335"
"4","1","30","45","0.6666643099186492","0.34"
"6","1","30","45","0.6452932446111944","0.35333333333333333"
"1","1","0","46","0.8864238614019393","0.30666666666666664"
"3","1","0","47","0.7886644605369746","0.2866666666666667"
"2","1","0","48","0.829905067619845","0.24333333333333335"
"5","1","30","46","0.6683651433713693","0.30333333333333334"
"4","1","30","46","0.6525914719952189","0.31666666666666665"
"1","1","0","47","0.8958545869522239","0.27"
