"BehaviorSpace results (NetLogo 6.2.2)"
"visek_original.nlogo"
"orig"
"11/03/2022 12:38:52:421 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"5","1","30","19","0.5901519094445553","0.26666666666666666"
"2","1","0","19","0.8161412968437667","0.2633333333333333"
"3","1","0","19","0.7811896046590687","0.27666666666666667"
"1","1","0","20","0.8538515668565819","0.2733333333333333"
"4","1","30","20","0.6661998808173858","0.21666666666666667"
"6","1","30","20","0.6860476333135","0.25333333333333335"
"2","1","0","20","0.8295409757811999","0.2733333333333333"
"5","1","30","20","0.6050516479825572","0.25666666666666665"
"3","1","0","20","0.803533324349531","0.2733333333333333"
"1","1","0","21","0.858643295455268","0.21666666666666667"
"4","1","30","21","0.6985484883226338","0.23"
"6","1","30","21","0.6770667245871403","0.2733333333333333"
"2","1","0","21","0.8363684419944527","0.30333333333333334"
"5","1","30","21","0.623658577947991","0.22333333333333333"
"3","1","0","21","0.8292486246137565","0.24333333333333335"
"1","1","0","22","0.8693672787913156","0.23666666666666666"
"4","1","30","22","0.6937177569678916","0.26"
"6","1","30","22","0.689596519195513","0.2866666666666667"
"2","1","0","22","0.8422926419852736","0.24666666666666667"
"3","1","0","22","0.8525388063762673","0.26"
"1","1","0","23","0.8851286475067434","0.25666666666666665"
"5","1","30","22","0.6331880239221007","0.25"
"4","1","30","23","0.7101508620699343","0.25"
"6","1","30","23","0.6722262860080769","0.2833333333333333"
"2","1","0","23","0.8525614135710788","0.2633333333333333"
"3","1","0","23","0.8550263154553278","0.23666666666666666"
"1","1","0","24","0.8886466404665831","0.23666666666666666"
"5","1","30","23","0.6194772585749625","0.22333333333333333"
"4","1","30","24","0.6979865874452341","0.24333333333333335"
"2","1","0","24","0.858098932415535","0.25333333333333335"
"6","1","30","24","0.6642750781711745","0.23666666666666666"
"3","1","0","24","0.860824030021302","0.25333333333333335"
"1","1","0","25","0.8905418662976825","0.23333333333333334"
"5","1","30","24","0.638563216893661","0.22333333333333333"
"2","1","0","25","0.8653954038368978","0.24333333333333335"
"6","1","30","25","0.6631406811643639","0.29"
"1","1","0","26","0.8951539426775759","0.26"
"4","1","30","25","0.7229653019625496","0.23666666666666666"
"3","1","0","25","0.8674910058056878","0.25333333333333335"
"5","1","30","25","0.6309816481927538","0.24333333333333335"
"2","1","0","26","0.8656438814327946","0.25333333333333335"
"6","1","30","26","0.6689999811212543","0.29333333333333333"
"1","1","0","27","0.9007491681507762","0.27"
"4","1","30","26","0.7076197474995841","0.22"
"3","1","0","26","0.878318498235149","0.25333333333333335"
"5","1","30","26","0.6225826584530535","0.22666666666666666"
"2","1","0","27","0.8680516522281385","0.26"
"6","1","30","27","0.679132416466069","0.31"
"1","1","0","28","0.9074590929388141","0.25333333333333335"
"4","1","30","27","0.7091315492693686","0.22666666666666666"
"3","1","0","27","0.8825599977915425","0.2633333333333333"
"5","1","30","27","0.6494546619635666","0.23"
"2","1","0","28","0.8688340338621202","0.23666666666666666"
"6","1","30","28","0.678191105088954","0.30333333333333334"
"1","1","0","29","0.9139375032666588","0.22333333333333333"
"4","1","30","28","0.7031885433671543","0.24"
"3","1","0","28","0.8879039365084664","0.2733333333333333"
"5","1","30","28","0.6620215489427533","0.24333333333333335"
"2","1","0","29","0.871405382119107","0.24666666666666667"
"1","1","0","30","0.9170964398100402","0.24666666666666667"
"6","1","30","29","0.6694149841521448","0.29"
"3","1","0","29","0.8929694168439357","0.25"
"4","1","30","29","0.6836115581374986","0.23666666666666666"
"5","1","30","29","0.6737847998856923","0.22"
"2","1","0","30","0.8727799106827452","0.22666666666666666"
"1","1","0","31","0.9242793806420412","0.22666666666666666"
"6","1","30","30","0.6798154534425831","0.3"
"3","1","0","30","0.893933146925361","0.25"
"4","1","30","30","0.7168970052966053","0.19333333333333333"
"2","1","0","31","0.8745307040870961","0.19"
"5","1","30","30","0.692737800061773","0.24333333333333335"
"1","1","0","32","0.9248588100461944","0.27"
"6","1","30","31","0.6723692735794708","0.2833333333333333"
"3","1","0","31","0.9001643944526658","0.24"
"4","1","30","31","0.7195683637062126","0.25"
"2","1","0","32","0.8762824253432107","0.23666666666666666"
"5","1","30","31","0.6863715049417884","0.23666666666666666"
"1","1","0","33","0.9261936755125096","0.25"
"6","1","30","32","0.6916355508013746","0.2866666666666667"
"3","1","0","32","0.9056728879532105","0.2866666666666667"
"4","1","30","32","0.7126055096966998","0.23666666666666666"
"2","1","0","33","0.8781810655973292","0.22333333333333333"
"5","1","30","32","0.6752677463798653","0.25666666666666665"
"1","1","0","34","0.9274377086368499","0.2633333333333333"
"3","1","0","33","0.9085879047005727","0.2866666666666667"
"6","1","30","33","0.685119104599264","0.26666666666666666"
"4","1","30","33","0.7143986114010525","0.24"
"2","1","0","34","0.8798256745740565","0.27"
"1","1","0","35","0.9293878938060433","0.29"
"5","1","30","33","0.6863243356967593","0.25666666666666665"
"3","1","0","34","0.9167642421752157","0.25333333333333335"
"6","1","30","34","0.6867509027654496","0.23333333333333334"
"4","1","30","34","0.7390136180956476","0.25333333333333335"
"2","1","0","35","0.8804342383654853","0.2633333333333333"
"1","1","0","36","0.9299517503122194","0.23"
"5","1","30","34","0.7009453599419323","0.25333333333333335"
"3","1","0","35","0.9221369468948953","0.23333333333333334"
"6","1","30","35","0.6586964316199314","0.24333333333333335"
"2","1","0","36","0.883884762666151","0.24666666666666667"
"4","1","30","35","0.7285187045990312","0.2733333333333333"
"1","1","0","37","0.9302509616832142","0.22333333333333333"
"5","1","30","35","0.7000705612012618","0.30333333333333334"
"3","1","0","36","0.9233814575401139","0.23"
"6","1","30","36","0.6786986191033658","0.24666666666666667"
"2","1","0","37","0.8869254915839533","0.23333333333333334"
"4","1","30","36","0.7227370596889509","0.2633333333333333"
"1","1","0","38","0.9339912419184642","0.24666666666666667"
"5","1","30","36","0.7162398253096782","0.24"
