"BehaviorSpace results (NetLogo 6.2.2)"
"creative_quick.nlogo"
"levy-msd"
"10/03/2022 17:04:53:331 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","step-size","num","dist-type","[step]","get-msd","step-size * sqrt ticks"
"2","0.5","50","weibull","5","2.8125158711889915","1.118033988749895"
"1","0.5","50","log-normal","9","2.031219078374781","1.5"
"4","0.5","100","log-normal","4","1.12655489436755","1"
"2","0.5","50","weibull","6","3.11579909898116","1.224744871391589"
"1","0.5","50","log-normal","10","2.186037390000553","1.5811388300841898"
"3","0.5","50","cauchy","9","9.558134292251141","1.5"
"6","0.5","100","cauchy","3","6.4989566423218195","0.8660254037844386"
"2","0.5","50","weibull","7","3.5078187152740834","1.3228756555322954"
"4","0.5","100","log-normal","5","1.2992986958613","1.118033988749895"
"3","0.5","50","cauchy","10","9.45821609409965","1.5811388300841898"
"2","0.5","50","weibull","8","3.6344314967648588","1.4142135623730951"
"3","0.5","50","cauchy","11","9.960959525814696","1.6583123951777"
"5","0.5","100","weibull","4","2.306251044515501","1"
"2","0.5","50","weibull","9","3.9076807448454676","1.5"
"1","0.5","50","log-normal","11","2.3469219545580176","1.6583123951777"
"3","0.5","50","cauchy","12","9.671926621412933","1.7320508075688772"
"2","0.5","50","weibull","10","4.202978122876955","1.5811388300841898"
"3","0.5","50","cauchy","13","12.194401124578727","1.8027756377319946"
"6","0.5","100","cauchy","4","8.280434532437477","1"
"3","0.5","50","cauchy","14","12.494126248115514","1.8708286933869707"
"5","0.5","100","weibull","5","2.605138793828839","1.118033988749895"
"3","0.5","50","cauchy","15","12.551282282971911","1.9364916731037085"
"3","0.5","50","cauchy","16","13.14293326868908","2"
"6","0.5","100","cauchy","5","9.431096500618121","1.118033988749895"
"3","0.5","50","cauchy","17","13.565238929318204","2.0615528128088303"
"4","0.5","100","log-normal","6","1.5487709596200656","1.224744871391589"
"1","0.5","50","log-normal","12","2.3951281250763405","1.7320508075688772"
"6","0.5","100","cauchy","6","9.646021748558708","1.224744871391589"
"3","0.5","50","cauchy","18","13.998970245529332","2.1213203435596424"
"5","0.5","100","weibull","6","2.639541886946615","1.224744871391589"
"1","0.5","50","log-normal","13","2.4539009197010295","1.8027756377319946"
"4","0.5","100","log-normal","7","1.637929303800429","1.3228756555322954"
"2","0.5","50","weibull","11","4.440153384643652","1.6583123951777"
"5","0.5","100","weibull","7","2.9656859462484695","1.3228756555322954"
"1","0.5","50","log-normal","14","2.5867881734909353","1.8708286933869707"
"3","0.5","50","cauchy","19","13.619771877877746","2.179449471770337"
"2","0.5","50","weibull","12","4.514776828470529","1.7320508075688772"
"1","0.5","50","log-normal","15","2.8544981121998476","1.9364916731037085"
"6","0.5","100","cauchy","7","10.735624267809003","1.3228756555322954"
"4","0.5","100","log-normal","8","1.7419768507583528","1.4142135623730951"
"5","0.5","100","weibull","8","3.1214167764958467","1.4142135623730951"
"2","0.5","50","weibull","13","4.582538872096325","1.8027756377319946"
"3","0.5","50","cauchy","20","14.12379446147263","2.23606797749979"
"6","0.5","100","cauchy","8","11.438297931184872","1.4142135623730951"
"1","0.5","50","log-normal","16","2.8849823341314407","2"
"5","0.5","100","weibull","9","3.3458806075850105","1.5"
"4","0.5","100","log-normal","9","1.8469713044373777","1.5"
"2","0.5","50","weibull","14","4.657647982381409","1.8708286933869707"
"2","0.5","50","weibull","15","4.654323533914877","1.9364916731037085"
"6","0.5","100","cauchy","9","11.50081311042207","1.5"
"3","0.5","50","cauchy","21","13.951378447933335","2.29128784747792"
"5","0.5","100","weibull","10","3.443050299792948","1.5811388300841898"
"4","0.5","100","log-normal","10","2.023813397238229","1.5811388300841898"
"1","0.5","50","log-normal","17","2.9408896737696","2.0615528128088303"
"3","0.5","50","cauchy","22","13.757710413257294","2.345207879911715"
"1","0.5","50","log-normal","18","3.130088144113804","2.1213203435596424"
"6","0.5","100","cauchy","10","11.644381710744259","1.5811388300841898"
"2","0.5","50","weibull","16","4.619231961175975","2"
"3","0.5","50","cauchy","23","13.636158509653184","2.3979157616563596"
