"BehaviorSpace results (NetLogo 6.2.2)"
"creative_quick.nlogo"
"cd-run-step-2"
"09/28/2022 13:48:47:329 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","num","step-size","num-directions","[step]","get-msd","step-size * sqrt ticks"
"1","100","1","3","7","1.607727505168658","2.6457513110645907"
"2","100","1","4","25","2.7338813777706528","5"
"4","100","1","6","29","3.1976785293665886","5.385164807134504"
"3","100","1","5","11","1.8464643591557977","3.3166247903554"
"5","100","1.5","3","14","3.295769199077639","5.612486080160912"
"4","100","1","6","30","3.2623251427949276","5.477225575051661"
"6","100","1.5","4","8","2.5720474360557013","4.242640687119286"
"4","100","1","6","31","3.3113321029079614","5.5677643628300215"
"2","100","1","4","26","2.7968206845933685","5.0990195135927845"
"5","100","1.5","3","15","3.2796042579970712","5.809475019311126"
"6","100","1.5","4","9","2.723533551627","4.5"
"4","100","1","6","32","3.342848579429108","5.656854249492381"
"1","100","1","3","8","1.6358854893640433","2.8284271247461903"
"4","100","1","6","33","3.4652863838357097","5.744562646538029"
"2","100","1","4","27","2.9416538235683753","5.196152422706632"
"5","100","1.5","3","16","3.314315880524876","6"
"4","100","1","6","34","3.484100744961731","5.830951894845301"
"4","100","1","6","35","3.482710213843029","5.916079783099616"
"6","100","1.5","4","10","2.8621153006336826","4.743416490252569"
"1","100","1","3","9","1.738032368464835","3"
"3","100","1","5","12","1.9284890341367262","3.4641016151377544"
"2","100","1","4","28","3.0179026241608113","5.291502622129181"
"5","100","1.5","3","17","3.449915785061909","6.18465843842649"
"2","100","1","4","29","3.0627286891315166","5.385164807134504"
"3","100","1","5","13","1.9280970877982375","3.605551275463989"
"5","100","1.5","3","18","3.554574502293523","6.363961030678928"
"1","100","1","3","10","1.8958292408368873","3.1622776601683795"
"6","100","1.5","4","11","2.9939350093677493","4.9749371855331"
"2","100","1","4","30","3.12736584988875","5.477225575051661"
"4","100","1","6","36","3.4564175030528053","6"
"5","100","1.5","3","19","3.701468133461388","6.538348415311011"
"1","100","1","3","11","1.9398753625553484","3.3166247903554"
"6","100","1.5","4","12","3.0492121598984947","5.196152422706632"
"2","100","1","4","31","3.1560515845293744","5.5677643628300215"
"5","100","1.5","3","20","3.814882062437297","6.708203932499369"
"3","100","1","5","14","1.9888189405479615","3.7416573867739413"
"2","100","1","4","32","3.176603609533644","5.656854249492381"
